order_id,customer_id,restaurant_id,order_date,order_value,delivery_fee,order_status
1001,1,101,2023-08-01,450,40,Delivered
1002,2,102,2023-08-01,320,30,Cancelled
1003,3,104,2023-08-02,720,0,Delivered
1004,4,103,2023-08-02,260,20,Delivered
1005,5,105,2023-08-03,580,50,Delivered
1006,6,106,2023-08-03,340,30,Delivered
1007,7,107,2023-08-04,900,0,Delivered
1008,8,108,2023-08-04,410,40,Delivered
1009,9,109,2023-08-05,290,20,Cancelled
1010,10,110,2023-08-05,610,30,Delivered
1011,11,111,2023-08-06,380,30,Delivered
1012,12,112,2023-08-06,840,0,Delivered
1013,13,113,2023-08-07,460,40,Delivered
1014,14,114,2023-08-07,310,30,Cancelled
1015,15,115,2023-08-08,520,50,Delivered
1016,16,116,2023-08-08,690,30,Delivered
1017,17,117,2023-08-09,980,0,Delivered
1018,18,118,2023-08-09,270,20,Delivered
1019,19,119,2023-08-10,430,40,Delivered
1020,20,120,2023-08-10,360,30,Delivered
1021,21,121,2023-08-11,510,50,Delivered
1022,22,122,2023-08-11,290,20,Cancelled
1023,23,123,2023-08-12,880,0,Delivered
1024,24,124,2023-08-12,340,30,Delivered
1025,25,125,2023-08-13,620,40,Delivered
1026,26,126,2023-08-13,410,30,Delivered
1027,27,127,2023-08-14,760,0,Delivered
1028,28,128,2023-08-14,380,30,Delivered
1029,29,129,2023-08-15,240,20,Cancelled
1030,30,130,2023-08-15,450,40,Delivered
1031,31,101,2023-09-01,520,50,Delivered
1032,32,102,2023-09-01,310,30,Delivered
1033,33,103,2023-09-02,470,40,Delivered
1034,34,104,2023-09-02,680,0,Delivered
1035,35,105,2023-09-03,590,50,Delivered
1036,36,106,2023-09-03,330,30,Cancelled
1037,37,107,2023-09-04,940,0,Delivered
1038,38,108,2023-09-04,420,40,Delivered
1039,39,109,2023-09-05,260,20,Delivered
1040,40,110,2023-09-05,610,30,Delivered
1041,41,111,2023-09-06,390,30,Delivered
1042,42,112,2023-09-06,820,0,Delivered
1043,43,113,2023-09-07,480,40,Delivered
1044,44,114,2023-09-07,300,30,Cancelled
1045,45,115,2023-09-08,540,50,Delivered
1046,46,116,2023-09-08,710,30,Delivered
1047,47,117,2023-09-09,1020,0,Delivered
1048,48,118,2023-09-09,280,20,Delivered
1049,49,119,2023-09-10,450,40,Delivered
1050,50,120,2023-09-10,370,30,Delivered
1051,51,121,2023-09-11,530,50,Delivered
1052,52,122,2023-09-11,310,30,Cancelled
1053,53,123,2023-09-12,910,0,Delivered
1054,54,124,2023-09-12,350,30,Delivered
1055,55,125,2023-09-13,640,40,Delivered
1056,56,126,2023-09-13,420,30,Delivered
1057,57,127,2023-09-14,780,0,Delivered
1058,58,128,2023-09-14,390,30,Delivered
1059,59,129,2023-09-15,250,20,Cancelled
1060,60,130,2023-09-15,470,40,Delivered
1061,1,101,2023-10-01,560,50,Delivered
1062,2,102,2023-10-01,330,30,Delivered
1063,3,103,2023-10-02,490,40,Delivered
1064,4,104,2023-10-02,720,0,Delivered
1065,5,105,2023-10-03,610,50,Delivered
1066,6,106,2023-10-03,350,30,Cancelled
1067,7,107,2023-10-04,980,0,Delivered
1068,8,108,2023-10-04,440,40,Delivered
1069,9,109,2023-10-05,270,20,Delivered
1070,10,110,2023-10-05,630,30,Delivered
1071,11,111,2023-10-06,400,30,Delivered
1072,12,112,2023-10-06,860,0,Delivered
1073,13,113,2023-10-07,510,40,Delivered
1074,14,114,2023-10-07,320,30,Cancelled
1075,15,115,2023-10-08,560,50,Delivered
1076,16,116,2023-10-08,730,30,Delivered
1077,17,117,2023-10-09,1040,0,Delivered
1078,18,118,2023-10-09,290,20,Delivered
1079,19,119,2023-10-10,470,40,Delivered
1080,20,120,2023-10-10,390,30,Delivered
1081,21,121,2023-10-11,550,50,Delivered
1082,22,122,2023-10-11,320,30,Cancelled
1083,23,123,2023-10-12,940,0,Delivered
1084,24,124,2023-10-12,360,30,Delivered
1085,25,125,2023-10-13,670,40,Delivered
1086,26,126,2023-10-13,430,30,Delivered
1087,27,127,2023-10-14,810,0,Delivered
1088,28,128,2023-10-14,410,30,Delivered
1089,29,129,2023-10-15,260,20,Cancelled
1090,30,130,2023-10-15,490,40,Delivered
1091,31,101,2023-11-01,580,50,Delivered
1092,32,102,2023-11-01,340,30,Delivered
1093,33,103,2023-11-02,510,40,Delivered
1094,34,104,2023-11-02,760,0,Delivered
1095,35,105,2023-11-03,630,50,Delivered
1096,36,106,2023-11-03,360,30,Cancelled
1097,37,107,2023-11-04,1020,0,Delivered
1098,38,108,2023-11-04,460,40,Delivered
1099,39,109,2023-11-05,290,20,Delivered
1100,40,110,2023-11-05,650,30,Delivered
1101,41,111,2023-11-06,420,30,Delivered
1102,42,112,2023-11-06,890,0,Delivered
1103,43,113,2023-11-07,540,40,Delivered
1104,44,114,2023-11-07,330,30,Cancelled
1105,45,115,2023-11-08,580,50,Delivered
1106,46,116,2023-11-08,760,30,Delivered
1107,47,117,2023-11-09,1080,0,Delivered
1108,48,118,2023-11-09,300,20,Delivered
1109,49,119,2023-11-10,490,40,Delivered
1110,50,120,2023-11-10,410,30,Delivered
1111,51,121,2023-11-11,570,50,Delivered
1112,52,122,2023-11-11,330,30,Cancelled
1113,53,123,2023-11-12,980,0,Delivered
1114,54,124,2023-11-12,380,30,Delivered
1115,55,125,2023-11-13,700,40,Delivered
1116,56,126,2023-11-13,450,30,Delivered
1117,57,127,2023-11-14,840,0,Delivered
1118,58,128,2023-11-14,430,30,Delivered
1119,59,129,2023-11-15,280,20,Cancelled
1120,60,130,2023-11-15,520,40,Delivered
